Serial Number,UP#/System ID,Make,Office,Modality,Status,Room,Tech,Equipment,Contract/Warranty Begin,Contract/Warranty End,Service Contract,Coverage days left,PM Completed,Service Support,Support Phone#,Support Email,Service Annual Fee,Note,Purchase From,Purchase Date,Delivery Date,Install Date,Remove By,Remove Date,Remove Description
H93323,,Accogent,CI,X-Ray,In Use,Room 2,Joana (limited tech),X-Ray Paxis 200 Universal system,n/a,n/a,,,,Digital Diagnostic LLC,714-249-3824,,,1 pm/yr,Jaken Medical Inc,,,,,,
205913us6,,GE,CI,Ultrasound,In Use,Room 2,Tunghua,Ultrasound GE Logiq E9 (new),8/21/2025,8/21/2026,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),8/20/2025,,8/21/2025,,,
207577US6,,GE,CI,Ultrasound,In Use,Room 3,Shelli,Ultrasound GE LogiqE9 R6 XD Clear (Refurbished in 2025),1/30/2026,1/31/2027,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,1/29/2026,1/29/2026,,,
"02706-0822, 02917-0822, 02908-0822",,Del Medical,CI,X-Ray,In Use,Room 1,Joana (limited tech),X-Ray Del Medical,n/a,n/a,,,,Digital Diagnostic LLC,714-249-3824,,,1 pm/yr,,,,,,,
33009,,Philips,MP,CT,In Use,CT,Jason,CT Philips Incisive (manufactureed 4/2021),6/30/2022,12/29/2026,,,,Philips,800-722-9377 (site id: 86629256),,"$64,896.00 ",pm (per manufacturer's recommendations),Philips,,,6/30/2021,,,
id:1RPA+300425,,GE,MP,Dexa,In Use,Dexa,Leo,DEXA GE Lunar system,n/a,n/a,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,1 pm/yr,,,,,,,
SDM131800445,,Hologic,MP,Mammo,In Use,Mammo,Nancy S,Mammo Hologic Selenia Dimensions 2D,10/2/2024,10/1/2027,,,,Hologic,877-371-4372,ServiceOperations@hologic.com,"$33,707.00 ",2 pm/yr,Hologic,,,,,,
10707,,Philips,MP,MRI,In Use,MRI,Laura,MRI Philips Intera 1.5T (installed 8/30/2004),1/1/2025,1/1/2028,,,6/6/2026,Advanced Imaging Services,800-200-3583,,"$78,000.00 ",4 pm/yr,Philips,,,,,,
205915US6,,GE,MP,Ultrasound,In Use,Room 1,Nancy,GE Logiq E9 R6 XDClear 2.0 (new),6/3/2025,6/3/2026,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),5/29/2025,,6/2/2025,,,
203518US6,,GE,MP,Ultrasound,In Use,Room 2,Linda,GE Logiq E9 R6 XDClear 2.0,12/12/2024,12/12/2025,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,,12/12/2024,,,
203527US6,,GE,MP,Ultrasound,In Use,Room 3,Sage,GE Logiq E9 R6 XDClear 2.0,12/12/2024,12/12/2025,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,,12/12/2024,,,
LE9R134156,,GE,MP,Ultrasound,In Use,Room 4,Christina/Kelly,Ultrasound GE Logic E9,2/4/2020,2/3/2027,,,3/16/2026,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com,"$6,497.00 ",1 pm/yr,GE,,,,,,
INVS1600006,,GE,MP,Ultrasound Auto Breast,Not Use,Storage,,Ultrasound GE Automated Breast Somo V Platinum,n/a,n/a,,,,,,,,Move from CI to MP,GE,,,,,,
204X9735,U7AR0084,Hitachi,MP,Ultrasound,In Use,Room 5,Ariana,Ultrasound Hitachi ALOKA ARIETTA 70,7/19/2023,7/18/2026,,,11/3/2025,Fujifilm,800-800-4925,"Gilito.Belmonte@fujifilm.com, shm-na-hcus-UltrasoundService@fujifilm.com","$5,875.00 ",1 pm/yr,Fujifilm (Hitachi),,,,,,5/6/24: moved from Arcadia Rm1 to MP.
USYS80128,,GE,MP,Ultrasound Auto Breast,Not Use,Storage,,Ultrasound GE Automated Breast Somo V Platinum,n/a,n/a,,,,,,,,,GE,,,,,,
PP42100,,Sedecal,MP,X-Ray,In Use,X-Ray,Leo/Hunter,X-Ray Radiographic system Sedecal X Plus,n/a,n/a,,,,Digital Diagnostic LLC,714-249-3824,,,2 pm/yr,,,,,,,
R4339,626281HDMR,GE,PMIOC ALH,MRI,In Use,MR,Ricardo,1.5 Tesla/12HD,10/1/2005,12/1/2028,,,,GE,Manny-916-206-3917,,"$70,574.40 ",,GE,5-Sep,,,,,
20036,7000803,UMI,PMIOC ALH,CT/PET,In Use,CT/PET,"Angie-CT,Ivan-PET",UMI 550,1/1/2024,12/31/2028,,,,UMI,Luis-714-561-0739,,"$110,000.00 ",,UMI,6/1/2020,,,,,
201266,,Siemens,PMIOC ALH,US,In Use,US,Laura/ Johanna,Accuson S2000,n/a,n/a,,,,MXR Imaging,866-900-9404,,,"1 pm/yr, service for time and materials",MXR Imaging,4/1/2025,,,,,
6167,S1601003,Swissray,PMIOC ALH,Xray,In Use,Xray,Michael/Josh,DDR Element,n/a,n/a,,,,Swiss Ray,Rex-732-325-4745,,,"1 pm/yr, service for time and materials",Swissray,10/1/2016,,,,,
,,Hologic,PMIOC ALH,Dexa,In Use,Xray,Michael/Josh,Horizon,n/a,n/a,,,,AR RAD Consulting,949-466-0625,info@arrad.net,,Service for time and materials,GE,1/1/2015,,,,,
AKS 0109012,,Philipps,PMIOC ALH,Nuc Med,Not Use,Nuc Med,Ivan,Addac Forte,n/a,n/a,,,,,Ted 909-680-9508,,,Service for time and materials,,,,,,,
454597CN,,GE,PMIOC CI,CT,In Use,CT,Michael/ Krtisy,VCT 64,n/a,n/a,,,,GE,Danny- 562-477-3522,,"$61,386 ",,,,,,,,
EWS151902345,,Siemens,PMIOC CI,US,In Use,US,Stella (Dong Fong),Accuson 2000,5/1/2026,11/30/2026,,,,Avante Health Solutions,866-282-6834,,,"1 pm/yr, service for time and materials",Avante Health,5/25/2026,,,,,
51601004,,Swissray,PMIOC CI,Xray,In Use,Xray,Michael/ Krtisy,DDR Element,n/a,n/a,,,,Swiss Ray,Rex-732-325-4745,,,Service for time and materials,,,,,,,
64679,,GE,PMIOC CI,Dexa,In Use,Dexa,Michael/ Krtisy,Prodigy,n/a,n/a,,,,,,,,,,,,,,,
211249,,Hologic,PMIOC CI,Mammo,In Use,Mammo,Mindy,Dimensions 3D,n/a,n/a,,,,AR RAD Consulting,949-466-0625,info@arrad.net,,Service for time and Materials,Hologic,6/23/2026,,,,,
Id:1RPA130760,,GE,SG,Dexa,In Use,Dexa,David V,DEXA GE Lunar system,n/a,n/a,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,1 pm/yr,,,,,,,
28407116837,,Hologic,SG,Mammo,In Use,Room 1,Julie H,Mammo Hologic Selenia (old),8/1/2022,8/31/2025 (after month to month),,,,AR RAD Consulting,877-299-8303,info@arrad.net,"$18,000.00 ",2 pm/yr,Hologic,,,,,,
SDM131800784,,Hologic,SG,Mammo,In Use,Room 2,Cecilia,Mammo Hologic Selenia Dimensions 2D,2/9/2024,12/31/2026,,,,AR RAD Consulting,877-299-8303,info@arrad.net,"$26,000.00 ",2 pm/yr,Hologic,,,,,,
145658,,Siemens,SG,MRI,In Use,MRI,David M,MRI 3 T Skyra Siemens-scanner,12/3/2019,12/2/2026,,,,Siemens,800-888-7436 (functional loc id 400-562441),serviceupdateapplications.team@siemens-healthineers.com,"$114,000.00 ",pm (per manufacturer's recommendations). ,Siemens,,,,,,
18072,,,SG,MRI chiller,In Use,MRI,,OEM KKT KRAUS MEDIXX 60 CHILLER,12/3/2019,12/2/2026,,,,Siemens,800-888-7436 (functional loc id 400-562442),serviceupdateapplications.team@siemens-healthineers.com,"$11,500.00 ","9/18/24: Per Brett Chafins, the contract was renew on 1/3/24 end on 12/3/26",Siemens,,,,,,
501411us7,,GE,SG,Ultrasound,In Use,Room 1,Giselle,GE Loqiq E10,n/a,n/a,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,,10/15/2023,,,
LE9R200445,,GE,SG,Ultrasound,In Use,Room 3,Vicky/Javier,Ultrasound GE Logic E9,2/4/2020,2/3/2027,,,3/27/2026,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com,"$6,497.00 ",1 pm/yr,GE,,,,,,
203531US6,,GE,SG,Ultrasound,In Use,Room 5,Ruby,GE Logiq E9 R6 XDCLEAR,n/a,n/a,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,,11/12/2024,,,
US423C0646,,Philips,SG,Ultrasound,In Use,Room 2,Shafalee,Ultrasound Philips EP1Q Elite (new),10/31/2023,10/31/2029,,,,Philips,800-722-9377,ccscdispatch@philips.com,"$5,996.04 ",,Philips,,,,,,
206666US6Â ,,GE,SG,Ultrasound,In Use,Room 4,Juliana,GE Logiq E9 R6 XDCLEAR,3/18/2026,3/18/2027,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),2/24/2026,3/18/2026,3/18/2026,,,
pp42114,,Sedecal,SG,X-Ray,In Use,X-Ray,David V/Rahel,X-Ray Radiographic system Sedecal X Plus,n/a,n/a,,,,Digital Diagnostic LLC,714-249-3824,,,2 pm/yr,,,,,,,
392186CN3,,GE,Synergy,CT,In Use,CT,Anna/Frederick,VCT Lightspeed / 64 slices,9/28/2020,9/28/2027,,,,GE Healthcare,1-800-437-1171,gehealthcareservice@ge.com,"$119,445 ",pm (per manufacturer's recommendations),GE,2006,,,,,
118380003799,,WelchAllyn,Synergy,EKG,In Use,EKG,,AM12,n/a,n/a,,,,,,,,,,2021,,,,,
26569,,Siemens,Synergy,MRI,In Use,MRI,Hui Ling,Avanto / 1.5T,6/1/2026,6/1/2031,,,6/15/2026,Advanced Imaging Services,800-200-3583,,"$76,132.80 ",4 pm/yr,Siemens,2007,,,,,
400-655097,,Siemens,Synergy,MRI Chiller,In Use,MRI,,Chiller KKT/cBoxX Only,9/19/2022,12/31/2030,,,,Siemens,1-888-826-9702 (functional loc id 400-213012),siemensservice@healthcare.siemens.com,"$8,840 ",pm (per manufacturer's recommendations),Siemens,2018,,,,,
USD20F1268,,Philips,Synergy,Ultrasound,In Use,Room 1,Maribel,101930 Affiniti 70 Ultrasound System,1/12/2022,1/11/2027,,,6/26/2026,Phillips,,,,1 pm/yr,Philips,2021,,,,,
SU31604023,,SYFM,Synergy,X-Ray,In Use,X-Ray,Jacqueline,SU-300X / PFD U-Arm,n/a,n/a,,,,,,,,,,2020,,,,,
